32,Pulp Fiction,10/14/1994,154,R,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption. ",Standard
33,Kill Bill: Volume 2,04/16/2004,137,R,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",Standard
34,Inglorious Basterds,08/21/2009,153,R,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Standard
35,Django Unchained,12/25/2012,165,R,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",Standard
36,The Hateful Eight,12/30/2015,168,R,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",Standard
37,Harry Potter and the Sorcerer’s Stone,11/16/2001,152,PG,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",Standard
38,Harry Potter and the Chamber of Secrets,11/15/2002,161,PG,An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.,Standard
39,Harry Potter and the Order of the Phoenix,07/11/2007,138,PG-13,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",Standard
40,Horrible Bosses,07/08/2011,98,R,Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness.,Standard
41,Horrible Bosses 2,11/26/2014,108,R,"Dale, Kurt and Nick decide to start their own business but things don't go as planned because of a slick investor, prompting the trio to pull off a harebrained and misguided kidnapping scheme.",Standard
42,We’re the Millers,08/07/2013,110,R,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,Standard
43,The Shawshank Redemption,09/23/1994,142,R,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Standard
44,The Green Mile,12/10/1999,189,R,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",Standard
45,Home Alone,11/16/1990,103,PG,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,Standard
